Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
New Test Suite 1.2,,,,2023-08-23 14:38:36,2023-08-23 14:38:36,0.617s,PASSED
,,,,,,,
Test Cases/New Test Case .1.2,,,,2023-08-23 14:38:36,2023-08-23 14:38:36,0.318s,PASSED
return null,,,,2023-08-23 14:38:36,2023-08-23 14:38:36,0.001s,PASSED
,,,,,,,
Test Cases/New Test Case .1.2,,,,2023-08-23 14:38:36,2023-08-23 14:38:36,0.016s,PASSED
return null,,,,2023-08-23 14:38:36,2023-08-23 14:38:36,0.014s,PASSED
,,,,,,,
Test Cases/New Test Case .1.2,,,,2023-08-23 14:38:36,2023-08-23 14:38:36,0.009s,PASSED
return null,,,,2023-08-23 14:38:36,2023-08-23 14:38:36,0.000s,PASSED
